,Track,Artist,Year,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre,Duration_min,Popularity_bin,Decade,Cluster
2043,Is There Life Out There,Reba McEntire,1991,4,0.662,0.536,8,-10.609,1,0.0342,0.385,0.0,0.0734,0.565,96.729,53,Country,3.8777666666666666,High,1990,0
2044,The Greatest Man I Never Knew,Reba McEntire,1992,4,0.521,0.243,1,-13.154,1,0.0265,0.766,0.0,0.0963,0.236,85.11,41,Country,3.234,Medium,1990,2
2045,Does He Love You,Reba McEntire,1993,4,0.449,0.434,9,-10.657,1,0.0282,0.37,0.0,0.113,0.259,144.664,51,Country,4.3399833333333335,High,1990,2
2046,I'm A Survivor,Reba McEntire,2001,4,0.571,0.617,2,-5.032,1,0.0348,0.328,0.0,0.115,0.574,88.154,54,Country,3.1228833333333332,High,2000,0
2051,Crying My Heart Out Over You,Ricky Skaggs,1981,4,0.595,0.407,7,-9.536,1,0.0272,0.49,2.67e-05,0.0959,0.702,127.507,40,Country,2.9711,Medium,1980,0
2052,Heartbroke,Ricky Skaggs,1982,4,0.555,0.562,2,-10.713,1,0.0388,0.068,0.0,0.21,0.853,192.981,40,Country,3.236,Medium,1980,0
2053,Honey (Open That Door),Ricky Skaggs,1983,4,0.698,0.504,0,-9.644,1,0.0311,0.0385,1.37e-06,0.0931,0.788,140.353,42,Country,3.4788833333333335,Medium,1980,0
2054,Country Boy,Ricky Skaggs,1984,4,0.355,0.707,7,-11.905,1,0.0321,0.057,0.0055,0.0992,0.564,162.408,35,Country,3.8266666666666667,Medium,1980,3
2055,Highway 40 Blues,Ricky Skaggs,1984,4,0.653,0.657,4,-11.966,1,0.0316,0.0582,0.00139,0.349,0.96,117.972,39,Country,3.148216666666667,Medium,1980,0
2056,Uncle Pen,Ricky Skaggs,1984,4,0.585,0.65,9,-10.952,1,0.0291,0.088,0.00384,0.248,0.956,129.983,41,Country,2.3871,Medium,1980,0
2057,Lovin' Only Me,Ricky Skaggs,1986,4,0.622,0.778,7,-7.942,1,0.0308,0.436,4.4e-05,0.0845,0.919,173.263,20,Country,3.5766666666666667,Low,1980,0
2058,After All This Time,Rodney Crowell,1981,4,0.428,0.263,4,-8.834,1,0.0315,0.873,5.34e-05,0.126,0.139,137.625,8,Country,4.608666666666666,Low,1980,2
2059,Lovin' All Night,Rodney Crowell,1981,4,0.492,0.822,2,-11.154,1,0.0337,0.4,7.57e-06,0.0799,0.922,177.565,15,Country,3.7788833333333334,Low,1980,0
2060,Stars on the Water,Rodney Crowell,1981,4,0.664,0.327,9,-16.718,1,0.0288,0.595,0.00906,0.0842,0.701,127.396,30,Country,3.748666666666667,Medium,1980,2
2061,Oh What a Beautiful World,Rodney Crowell,1986,4,0.601,0.402,7,-12.723,1,0.0261,0.724,0.0958,0.257,0.565,80.157,43,Country,5.132433333333333,Medium,1980,2
2062,Shame on the Moon,Rodney Crowell,1986,4,0.72,0.156,7,-19.711,1,0.0312,0.428,0.0316,0.0701,0.217,105.739,28,Country,4.671333333333333,Low,1980,2
2063,I Couldn't Leave You If I Tried,Rodney Crowell,1988,3,0.485,0.59,0,-5.337,1,0.0267,0.611,0.0,0.324,0.576,129.537,10,Country,3.4777666666666667,Low,1980,3
2064,Please Remember Me,Rodney Crowell,1988,4,0.578,0.333,1,-11.699,1,0.0235,0.474,0.0,0.113,0.215,76.46,18,Country,3.7724333333333333,Low,1980,2
2065,Chug-A-Lug,Roger Miller,1964,4,0.717,0.324,11,-14.631,1,0.113,0.739,0.000258,0.139,0.888,172.189,47,Country,1.9848833333333333,High,1960,2
2066,Dang Me,Roger Miller,1964,4,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325,48,Country,1.7066666666666668,High,1960,2
2067,England Swings,Roger Miller,1965,4,0.62,0.494,2,-11.215,1,0.0635,0.908,0.0,0.173,0.778,74.947,28,Country,1.8744333333333334,Low,1960,2
2068,"Green,Green Grass Of Home",Roger Miller,1965,4,0.503,0.296,5,-11.473,1,0.0334,0.716,6.62e-05,0.461,0.518,96.039,4,Country,3.11,Low,1960,2
2069,King Of The Road,Roger Miller,1965,4,0.67,0.272,11,-13.699,1,0.0704,0.717,0.0,0.178,0.613,117.996,62,Country,2.4551,Very High,1960,2
2070,One Dyin' And A Buryin',Roger Miller,1965,4,0.669,0.298,5,-15.045,1,0.0684,0.898,1.79e-06,0.107,0.341,106.88,21,Country,2.029333333333333,Low,1960,2
2071,You Can't Roller Skate In A Buffalo Herd,Roger Miller,1965,4,0.554,0.442,7,-10.324,1,0.172,0.935,0.0,0.0842,0.905,174.148,18,Country,1.9008833333333333,Low,1960,2
2072,Husbands and Wives,Roger Miller,1966,3,0.787,0.195,0,-16.61,1,0.0376,0.763,0.0169,0.107,0.391,116.255,23,Country,2.4226666666666667,Low,1960,2
2073,Ruby (Don't Take Your Love To Town),Roger Miller,1969,4,0.669,0.414,0,-11.144,1,0.0298,0.795,0.000442,0.161,0.798,88.011,9,Country,2.9451,Low,1960,2
2074,Daydreams About Night Things,Ronnie Milsap,1975,4,0.631,0.54,2,-8.983,1,0.0322,0.542,0.0,0.115,0.934,138.8,53,Country,2.37955,High,1970,0
2075,It Was Almost Like A Song,Ronnie Milsap,1977,4,0.327,0.281,0,-10.663,1,0.0276,0.323,0.00418,0.0713,0.151,147.72,40,Country,3.6586666666666665,Medium,1970,2
2076,Smoky Mountain Rain,Ronnie Milsap,1980,4,0.554,0.577,7,-8.62,1,0.0282,0.0165,2.91e-05,0.0719,0.479,140.277,55,Country,3.72155,High,1980,0
2077,(There's) No Gettin' Over Me,Ronnie Milsap,1981,4,0.595,0.447,1,-10.342,0,0.0323,0.627,0.000586,0.3,0.787,200.528,58,Country,3.328,High,1980,0
2078,I Wouldn't Have Missed It For The World,Ronnie Milsap,1981,4,0.663,0.511,7,-10.843,1,0.0259,0.0637,1.09e-06,0.101,0.579,114.003,54,Country,3.6304333333333334,High,1980,0
2079,Any Day Now,Ronnie Milsap,1982,4,0.696,0.532,5,-9.705,1,0.0237,0.148,0.00246,0.0842,0.624,103.359,48,Country,3.7066666666666666,High,1980,0
2080,Stranger In My House,Ronnie Milsap,1983,4,0.654,0.621,7,-8.608,1,0.027,0.0038,0.000435,0.167,0.626,111.901,46,Country,4.222666666666667,High,1980,0
2081,There's No Getting' Over Me,Ronnie Milsap,1983,4,0.624,0.509,6,-10.727,0,0.034,0.658,0.0,0.539,0.773,102.07,24,Country,1.0513333333333332,Low,1980,0
2082,Still Losing You,Ronnie Milsap,1984,4,0.643,0.461,0,-9.258,1,0.0262,0.376,1.12e-06,0.0769,0.247,88.536,18,Country,5.283333333333333,Low,1980,2
2089,He'll Have To Go,Roy Clark,1960,4,0.381,0.174,5,-16.261,1,0.032,0.87,0.00546,0.242,0.451,77.649,8,Country,3.328883333333333,Low,1960,2
2090,Come Live With Me,Roy Clark,1968,3,0.498,0.249,2,-14.156,1,0.0274,0.632,0.00142,0.118,0.333,72.044,18,Country,2.951766666666667,Low,1960,2
2091,Malaguena,Roy Clark,1969,4,0.462,0.158,0,-20.095,1,0.0406,0.266,0.857,0.183,0.275,142.617,28,Country,4.312216666666667,Low,1960,2
2092,Yesterday When I Was Young,Roy Clark,1969,4,0.478,0.388,2,-12.655,0,0.0404,0.647,3e-06,0.11,0.339,89.829,36,Country,3.352883333333333,Medium,1960,2
2093,Thank God and Greyhound,Roy Clark,1970,3,0.464,0.359,10,-12.938,1,0.029,0.563,0.0,0.0814,0.603,88.221,28,Country,2.596,Low,1970,2
2094,The Lawrence Welk-Hee Haw Counter-Revolution Polka,Roy Clark,1974,4,0.591,0.597,7,-10.667,1,0.0341,0.305,0.0,0.183,0.961,114.366,7,Country,2.6804333333333332,Low,1970,0
2101,(If You're Not In It For Love) I'm Outta Here!,Shania Twain,1995,4,0.718,0.917,5,-2.183,1,0.041,0.169,0.0,0.228,0.854,119.969,39,Country,3.8592333333333335,Medium,1990,0
2102,Any Man Of Mine,Shania Twain,1995,4,0.592,0.725,8,-8.698,1,0.0412,0.207,0.0,0.148,0.784,78.235,72,Country,4.112666666666667,Very High,1990,0
2103,No One Needs To Know,Shania Twain,1995,4,0.663,0.525,7,-9.674,1,0.0331,0.108,0.0,0.349,0.731,134.748,61,Country,3.066,Very High,1990,0
2104,Whose Bed Have Your Boots Been Under?,Shania Twain,1995,4,0.691,0.77,5,-4.696,1,0.0339,0.0252,0.0,0.123,0.748,132.134,24,Country,4.406983333333334,Low,1990,0
2105,Don't Be Stupid (You Know I Love You),Shania Twain,1997,4,0.782,0.657,2,-4.952,1,0.0321,0.159,0.0,0.351,0.84,122.102,52,Country,3.56685,High,1990,0
2106,From This Moment On,Shania Twain,1998,4,0.449,0.538,2,-4.453,1,0.027,0.414,0.0,0.139,0.229,135.765,63,Country,3.96565,Very High,1990,3
2107,Man! I Feel Like A Woman!,Shania Twain,1999,4,0.69,0.74,10,-3.342,1,0.0351,0.447,0.0,0.0858,0.657,125.092,72,Country,3.890233333333333,Very High,1990,0
2108,That Don't Impress Me Much,Shania Twain,1999,4,0.757,0.757,1,-7.599,1,0.0389,0.238,0.0,0.0476,0.967,124.955,62,Country,3.6477666666666666,Very High,1990,0
2112,Empty Arms,Sonny James,1962,4,0.353,0.325,2,-14.106,1,0.0288,0.86,0.121,0.274,0.581,88.007,31,Country,2.36155,Medium,1960,2
2113,Since I Met You Baby,Sonny James,1964,4,0.483,0.349,2,-16.105,1,0.0307,0.686,0.00791,0.984,0.554,82.05,36,Country,2.87555,Medium,1960,2
2114,True Love's A Blessing,Sonny James,1965,4,0.713,0.614,9,-10.049,0,0.0347,0.742,0.0,0.378,0.906,112.639,30,Country,2.2122166666666665,Medium,1960,0
2115,Behind the Tear,Sonny James,1966,4,0.535,0.181,0,-17.627,1,0.0319,0.822,0.0,0.374,0.553,107.548,40,Country,2.0182333333333333,Medium,1960,2
2116,A World Of Our Own,Sonny James,1967,3,0.395,0.699,0,-8.481,1,0.0314,0.348,7.13e-06,0.3,0.891,152.002,30,Country,2.504,Medium,1960,0
2117,Take Good Care Of Her,Sonny James,1969,3,0.378,0.253,8,-12.243,1,0.036,0.912,0.0,0.109,0.423,100.053,34,Country,2.4926666666666666,Medium,1960,2
2118,Some Fools Never Learn,Steve Wariner,1981,4,0.561,0.229,6,-17.497,1,0.0308,0.39,7.69e-06,0.0976,0.376,97.888,45,Country,4.086,High,1980,2
2119,Kansas City Lights,Steve Wariner,1983,4,0.69,0.584,11,-13.028,1,0.0484,0.192,0.0,0.327,0.638,128.788,29,Country,3.5671,Medium,1980,0
2120,Lonely Women Make Good Lovers,Steve Wariner,1984,4,0.727,0.381,1,-12.473,1,0.0308,0.116,0.000295,0.166,0.705,117.543,44,Country,3.24555,Medium,1980,0
2121,The Weekend,Steve Wariner,1986,4,0.794,0.368,1,-15.087,1,0.0304,0.442,0.0,0.0553,0.743,98.14,39,Country,3.8322166666666666,Medium,1980,0
2122,Where Did I Go Wrong,Steve Wariner,1986,4,0.496,0.492,0,-13.83,1,0.0265,0.233,1.56e-05,0.0732,0.808,169.219,34,Country,3.556,Medium,1980,0
2123,You Can Dream Of Me,Steve Wariner,1987,4,0.732,0.347,9,-16.592,1,0.0286,0.161,0.0,0.0883,0.487,110.449,31,Country,4.0517666666666665,Medium,1980,2
2124,Holes In The Floor Of Heaven,Steve Wariner,1998,4,0.66,0.34,1,-10.113,1,0.027,0.54,0.0,0.0804,0.384,108.946,48,Country,4.806216666666667,High,1990,2
2125,What I Didn't Do,Steve Wariner,2003,4,0.56,0.301,7,-14.113,1,0.0248,0.335,0.0,0.076,0.31,95.803,17,Country,3.1682166666666665,Low,2000,2
2126,Do You Wanna Go To Heaven,T.G. Sheppard,1974,4,0.675,0.49,1,-13.845,1,0.0341,0.422,0.00162,0.106,0.678,90.598,40,Country,3.1668833333333333,Medium,1970,0
2127,Last Cheater's Waltz,T.G. Sheppard,1978,3,0.531,0.288,0,-17.066,1,0.0261,0.597,0.19,0.0844,0.283,97.691,26,Country,3.7837666666666667,Low,1970,2
2128,I Loved 'Em Every One,T.G. Sheppard,1980,4,0.68,0.637,4,-14.561,0,0.0319,0.185,0.00968,0.0614,0.7,87.131,46,Country,3.688,High,1980,0
2129,Slow Burn,T.G. Sheppard,1980,4,0.861,0.433,5,-9.204,1,0.0336,0.194,0.00289,0.0989,0.415,105.261,31,Country,4.2824333333333335,Medium,1980,0
2130,Strong Heart,T.G. Sheppard,1980,4,0.614,0.353,5,-12.217,1,0.0289,0.741,0.000399,0.133,0.193,84.972,2,Country,3.58555,Low,1980,2
2131,Only One You,T.G. Sheppard,1981,4,0.767,0.805,4,-9.25,0,0.0259,0.571,0.000442,0.0507,0.965,93.822,42,Country,3.44955,Medium,1980,0
2132,Trying to Beat the Morning Home,T.G. Sheppard,1982,4,0.509,0.358,4,-11.892,1,0.0287,0.781,0.139,0.419,0.213,142.001,5,Country,2.7417666666666665,Low,1980,2
2133,Apartment #9,Tammy Wynette,1966,4,0.566,0.18,5,-11.778,1,0.0351,0.821,0.00117,0.219,0.552,78.18,30,Country,2.9404333333333335,Medium,1960,2
2134,I Don't Wanna Play House,Tammy Wynette,1967,4,0.546,0.258,7,-12.894,1,0.0317,0.806,1.06e-05,0.165,0.464,100.683,43,Country,2.5771,Medium,1960,2
2135,D-I-V-O-R-C-E,Tammy Wynette,1968,4,0.628,0.383,9,-9.216,1,0.0296,0.826,0.0,0.151,0.564,99.789,48,Country,2.924,High,1960,2
2136,Stand By Your Man,Tammy Wynette,1968,4,0.517,0.246,9,-11.992,1,0.0308,0.788,0.00105,0.133,0.525,105.24,59,Country,2.6626666666666665,Very High,1960,2
2137,Take Me to Your World,Tammy Wynette,1968,4,0.398,0.22,4,-11.486,1,0.0279,0.866,4.08e-05,0.195,0.355,88.337,24,Country,2.7882166666666666,Low,1960,2
2138,My Arms Stay Open Late,Tammy Wynette,1971,4,0.574,0.339,9,-10.155,1,0.0247,0.724,0.00305,0.392,0.513,96.644,22,Country,2.1317666666666666,Low,1970,2
2139,Satin Sheets,Tammy Wynette,1973,3,0.434,0.232,0,-12.985,1,0.0321,0.88,1.93e-05,0.14,0.432,98.624,33,Country,2.8768833333333332,Medium,1970,2
2140,Golden Ring,Tammy Wynette,1976,4,0.458,0.514,11,-12.644,1,0.0603,0.528,0.0,0.185,0.603,166.523,47,Country,3.0248833333333334,High,1970,2
2141,Till I Can Make It on My Own,Tammy Wynette,1976,4,0.408,0.402,4,-10.317,1,0.0323,0.757,0.00197,0.802,0.364,139.573,24,Country,3.22,Low,1970,2
2142,Delta Dawn,Tanya Tucker,1972,4,0.619,0.507,5,-7.677,1,0.0335,0.71,0.0,0.258,0.694,77.995,62,Country,2.92,Very High,1970,0
2143,The Man That Turned My Mama On,Tanya Tucker,1974,4,0.631,0.742,0,-7.243,1,0.108,0.627,0.0,0.0984,0.67,90.408,26,Country,2.90155,Low,1970,0
2144,Blood Red And Going Down,Tanya Tucker,1978,4,0.679,0.389,9,-12.778,1,0.0292,0.203,0.0,0.297,0.452,106.458,8,Country,3.2422166666666667,Low,1970,2
2145,Love Me Like You Used To,Tanya Tucker,1978,4,0.58,0.155,10,-17.386,1,0.0278,0.729,0.0,0.0859,0.479,89.339,46,Country,3.8266666666666667,High,1970,2
2146,Texas (When I Die),Tanya Tucker,1978,4,0.556,0.572,10,-13.894,1,0.0337,0.247,0.0,0.0422,0.851,78.103,46,Country,4.866666666666666,High,1970,0
2147,Soon,Tanya Tucker,1979,4,0.556,0.27,9,-13.044,1,0.0274,0.618,3.76e-06,0.121,0.204,74.029,18,Country,3.4871,Low,1970,2
2148,Strong Enough To Bend,Tanya Tucker,1988,4,0.632,0.374,8,-12.49,1,0.0271,0.75,8.45e-06,0.0879,0.694,91.806,38,Country,2.72955,Medium,1980,2
2149,Two Sparrows In A Hurricane,Tanya Tucker,1992,4,0.471,0.246,10,-13.678,1,0.0311,0.568,4.7e-06,0.109,0.226,97.101,53,Country,4.17555,High,1990,2
2156,Let Your Love Flow,The Bellamy Brothers,1976,4,0.596,0.897,3,-5.224,1,0.0402,0.0367,0.0,0.151,0.853,108.194,70,Country,3.2804333333333333,Very High,1970,0
2157,If I Said You Have a Beautiful Body (Would You Hold It Against Me),The Bellamy Brothers,1979,4,0.742,0.775,4,-6.702,1,0.0271,0.1,0.0,0.299,0.753,113.75,31,Country,3.216666666666667,Medium,1970,0
2158,Big Love,The Bellamy Brothers,1980,4,0.64,0.564,7,-10.466,1,0.0247,0.216,0.0,0.131,0.739,113.821,17,Country,3.316666666666667,Low,1980,0
2159,I Need More Of You,The Bellamy Brothers,1980,4,0.625,0.768,7,-6.569,1,0.0293,0.0627,5.76e-06,0.149,0.824,118.958,45,Country,3.4522166666666667,High,1980,0
2160,Sugar Daddy,The Bellamy Brothers,1980,4,0.775,0.783,4,-5.201,1,0.0333,0.0204,0.00206,0.107,0.831,109.574,30,Country,3.6853333333333333,Medium,1980,0
2161,Too Much Is Not Enough,The Bellamy Brothers,1982,4,0.559,0.748,7,-5.049,1,0.102,0.0199,3.91e-06,0.12,0.846,191.137,23,Country,3.8924333333333334,Low,1980,3
2162,Crazy From the Heart,The Bellamy Brothers,1985,4,0.554,0.747,7,-6.107,1,0.0254,0.105,0.0,0.13,0.682,139.441,25,Country,3.564433333333333,Low,1980,0
2163,Old Hippie,The Bellamy Brothers,1985,4,0.674,0.75,11,-6.032,1,0.041,0.0306,1.29e-05,0.0884,0.693,103.87,48,Country,4.0851,High,1980,0
2172,I Can Love You Better,The Chicks,1998,4,0.788,0.748,9,-5.439,1,0.0344,0.419,0.0,0.0638,0.608,119.781,51,Country,3.8985833333333333,High,1990,0
2173,There's Your Trouble,The Chicks,1998,4,0.737,0.869,2,-5.433,1,0.0267,0.481,0.0,0.308,0.898,126.628,65,Country,3.2177333333333333,Very High,1990,0
2174,Wide Open Spaces,The Chicks,1998,4,0.563,0.544,4,-6.102,1,0.0306,0.577,0.0,0.128,0.602,179.351,68,Country,3.7305333333333333,Very High,1990,0
2175,Cowboy Take Me Away,The Chicks,1999,4,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,69,Country,4.787766666666666,Very High,1990,3
2176,Goodbye Earl,The Chicks,1999,4,0.705,0.7,0,-7.38,1,0.0295,0.0192,0.0,0.0755,0.765,122.841,63,Country,4.310666666666667,Very High,1990,0
2177,Sin Wagon,The Chicks,1999,4,0.598,0.936,10,-6.313,1,0.0354,0.00522,0.0178,0.219,0.898,144.059,48,Country,3.628216666666667,High,1990,0
2178,Landslide,The Chicks,2002,4,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948,65,Country,3.8424833333333335,Very High,2000,2
2179,Long Time Gone,The Chicks,2002,4,0.549,0.693,2,-5.572,1,0.0311,0.18,1.75e-06,0.153,0.819,170.241,52,Country,4.156866666666667,High,2000,0
2180,Travelin' Soldier,The Chicks,2002,4,0.569,0.365,9,-7.047,1,0.0265,0.691,0.0,0.17,0.508,145.859,65,Country,5.724933333333333,Very High,2000,2
2181,Not Ready to Make Nice,The Chicks,2006,4,0.425,0.554,6,-4.145,1,0.0298,0.134,8.56e-05,0.0963,0.288,83.917,62,Country,3.9549333333333334,Very High,2000,3
2182,John Deere Tractor,The Judds,1984,4,0.585,0.175,0,-15.168,1,0.0312,0.603,0.0,0.106,0.254,128.637,23,Country,3.5071,Low,1980,2
2183,Mama He's Crazy,The Judds,1984,4,0.709,0.517,7,-7.321,1,0.0271,0.219,0.0,0.127,0.255,95.951,49,Country,3.2444333333333333,High,1980,0
2184,Why Not Me,The Judds,1984,4,0.713,0.813,10,-5.241,1,0.0281,0.28,3.37e-06,0.226,0.774,125.578,61,Country,3.4851,Very High,1980,0
2185,Have Mercy,The Judds,1985,4,0.851,0.742,9,-5.403,0,0.0283,0.187,0.0,0.265,0.95,123.248,49,Country,3.3553333333333333,High,1980,0
2186,Young Love (Strong Love),The Judds,1985,4,0.729,0.36,11,-8.493,1,0.0301,0.719,0.0,0.105,0.287,119.986,42,Country,4.376666666666667,Medium,1980,2
2187,Grandpa (Tell Me 'Bout The Good Old Days),The Judds,1986,4,0.565,0.456,4,-8.125,1,0.031,0.423,8.4e-06,0.0612,0.586,201.7,58,Country,4.244,High,1980,0
2188,Rockin' With The Rhythm Of The Rain,The Judds,1986,4,0.766,0.588,0,-6.204,1,0.0296,0.121,0.0,0.0769,0.782,143.16,52,Country,2.6722166666666665,High,1980,0
2189,The Sweetest Gift,The Judds,1986,4,0.579,0.168,9,-9.748,1,0.0327,0.865,0.0,0.0998,0.247,150.738,24,Country,3.886,Low,1980,2
2190,Turn It Loose,The Judds,1988,4,0.878,0.637,11,-6.51,1,0.031,0.332,0.0,0.29,0.638,119.755,41,Country,3.747333333333333,Medium,1980,0
2191,Love Can Build A Bridge,The Judds,1990,4,0.566,0.167,11,-12.055,1,0.0301,0.732,3.07e-06,0.0939,0.185,132.657,50,Country,5.378433333333334,High,1990,2
2200,Y'all Come Back Saloon,The Oak Ridge Boys,1979,4,0.691,0.294,2,-17.635,1,0.0457,0.0538,2.22e-05,0.0732,0.688,82.908,37,Country,2.9266666666666667,Medium,1970,0
2201,Elvira,The Oak Ridge Boys,1981,4,0.825,0.285,8,-17.491,1,0.0326,0.188,0.00131,0.0539,0.86,126.946,57,Country,3.7604333333333333,High,1980,0
2202,Bobbie Sue,The Oak Ridge Boys,1982,4,0.787,0.749,7,-12.695,1,0.041,0.33,0.0386,0.096,0.97,134.034,41,Country,2.8977666666666666,Medium,1980,0
2203,American Made,The Oak Ridge Boys,1983,4,0.696,0.527,8,-14.275,1,0.0329,0.108,0.000897,0.0377,0.974,128.962,51,Country,2.664433333333333,High,1980,0
2204,Dream On,The Oak Ridge Boys,1983,4,0.57,0.431,0,-14.096,1,0.0356,0.105,0.0116,0.124,0.333,98.64,27,Country,3.3,Low,1980,2
2205,Come On In,The Oak Ridge Boys,1984,4,0.561,0.522,7,-15.205,1,0.0608,0.193,0.00161,0.0959,0.96,189.382,24,Country,2.9304333333333332,Low,1980,0
2206,Thank God For Kids,The Oak Ridge Boys,1984,4,0.418,0.214,2,-15.382,1,0.0285,0.215,0.0,0.306,0.282,74.472,20,Country,2.5782166666666666,Low,1980,2
2207,Trying To Love Two Women,The Oak Ridge Boys,1984,4,0.6,0.409,5,-15.963,1,0.0399,0.0409,0.0,0.56,0.702,87.353,47,Country,2.4566666666666666,High,1980,0
2208,Gonna Take A Lot Of River,The Oak Ridge Boys,1986,4,0.552,0.814,0,-11.599,1,0.0375,0.715,0.0,0.374,0.95,158.736,27,Country,3.0277666666666665,Low,1980,0
2209,I Guess It Never Hurts To Hurt Sometimes,The Oak Ridge Boys,1987,4,0.711,0.366,10,-15.387,1,0.0514,0.158,1.04e-05,0.14,0.601,111.813,34,Country,4.008883333333333,Medium,1980,0
2217,Mountain Dew,The Stanley Brothers,1961,4,0.537,0.502,3,-14.012,1,0.0374,0.191,0.000629,0.106,0.698,146.34,38,Country,2.7317666666666667,Medium,1960,0
2218,White Dove,The Stanley Brothers,1962,4,0.582,0.355,5,-11.95,1,0.0295,0.476,4.32e-05,0.327,0.588,111.426,15,Country,3.010883333333333,Low,1960,2
2219,The Fields Have Turned Brown (with The Clinch Mountain Boys),The Stanley Brothers,1963,4,0.453,0.479,9,-10.071,1,0.0318,0.762,2.52e-05,0.167,0.333,95.742,5,Country,2.536,Low,1960,2
2220,Flowers on the Wall,The Statler Brothers,1965,4,0.53,0.51,8,-11.053,0,0.187,0.596,0.0,0.0712,0.808,201.594,51,Country,2.330216666666667,High,1960,0
2221,Bed Of Rose's,The Statler Brothers,1968,4,0.768,0.491,9,-10.628,1,0.033,0.421,0.0,0.114,0.955,102.802,49,Country,2.473333333333333,High,1960,0
2222,I'll Go To My Grave Loving You,The Statler Brothers,1968,4,0.606,0.425,10,-11.671,1,0.025,0.858,2.02e-05,0.119,0.791,95.807,41,Country,2.8011,Medium,1960,2
2223,The Class Of '57,The Statler Brothers,1972,4,0.505,0.47,4,-9.498,1,0.0321,0.8,0.0,0.277,0.761,171.25,38,Country,2.632,Medium,1970,2
2224,Do You Remember These?,The Statler Brothers,1973,4,0.742,0.535,5,-9.715,1,0.0328,0.67,0.0,0.145,0.922,99.202,35,Country,2.898216666666667,Medium,1970,0
2225,Years Ago,The Statler Brothers,1977,4,0.715,0.587,0,-13.137,1,0.0485,0.52,0.0,0.163,0.606,104.988,26,Country,2.3726666666666665,Low,1970,0
2226,Whatever Happened To Randolph Scott?,The Statler Brothers,1978,4,0.699,0.451,2,-14.647,1,0.0304,0.815,0.0,0.202,0.863,95.772,28,Country,1.9066666666666667,Low,1970,2
2227,Carry Me Back,The Statler Brothers,1981,4,0.585,0.375,2,-12.186,1,0.0278,0.58,0.0,0.337,0.646,99.264,23,Country,3.264883333333333,Low,1980,2
2228,New York City,The Statler Brothers,1984,4,0.493,0.371,7,-12.299,1,0.0296,0.74,0.00325,0.19,0.759,78.611,44,Country,2.8611,Medium,1980,2
2229,Don't Take The Girl,Tim McGraw,1994,4,0.439,0.454,0,-8.669,1,0.0308,0.279,0.0,0.123,0.354,204.263,61,Country,4.156,Very High,1990,3
2230,"I Like It,I Love It",Tim McGraw,1995,4,0.643,0.961,0,-5.298,1,0.0315,0.0196,0.0,0.948,0.96,124.027,70,Country,3.4284333333333334,Very High,1990,3
2231,It's Your Love,Tim McGraw,1997,4,0.474,0.528,7,-8.588,1,0.0276,0.526,0.0,0.109,0.364,144.366,60,Country,3.788883333333333,Very High,1990,2
2232,Back When,Tim McGraw,1998,4,0.602,0.73,7,-4.785,1,0.027,0.108,0.0,0.284,0.663,135.996,34,Country,4.9862166666666665,Medium,1990,3
2233,Just To See You Smile,Tim McGraw,1998,4,0.492,0.823,6,-8.526,1,0.0297,0.127,0.0,0.0523,0.702,94.342,67,Country,3.5862166666666666,Very High,1990,0
2234,Something Like That,Tim McGraw,1999,4,0.507,0.85,5,-5.679,1,0.0472,0.378,0.0,0.0567,0.847,171.8,72,Country,3.0622166666666666,Very High,1990,0
2235,Live Like You Were Dying,Tim McGraw,2004,4,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929,67,Country,5.00555,Very High,2000,3
2236,Truck Yeah,Tim McGraw,2012,4,0.608,0.931,7,-3.278,1,0.0336,0.114,0.0,0.067,0.768,97.973,44,Country,3.473333333333333,Medium,2010,0
2237,Meanwhile Back At Mama's,Tim McGraw,2014,4,0.524,0.679,6,-8.68,1,0.0435,0.583,5.79e-05,0.163,0.676,172.977,53,Country,3.8017666666666665,High,2010,0
2238,Humble And Kind,Tim McGraw,2016,3,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,67,Country,4.3211,Very High,2010,2
2239,Should've Been A Cowboy,Toby Keith,1993,4,0.586,0.728,7,-5.392,1,0.0337,0.271,0.0,0.231,0.668,133.851,31,Country,3.4984333333333333,Medium,1990,0
2240,How Do You Like Me Now?!,Toby Keith,1999,4,0.648,0.667,0,-8.986,1,0.0311,0.0534,6.75e-06,0.0908,0.666,109.607,69,Country,3.4844333333333335,Very High,1990,0
2241,"Courtesy Of The Red,White And Blue (The Angry American)",Toby Keith,2002,4,0.424,0.662,2,-5.547,1,0.0425,0.518,1.77e-06,0.0719,0.385,111.758,73,Country,3.2588833333333334,Very High,2000,3
2242,Who's Your Daddy?,Toby Keith,2002,4,0.684,0.871,9,-4.307,1,0.0402,0.286,0.0285,0.049,0.849,126.38,49,Country,3.9668833333333335,High,2000,0
